Motor_Frequency_Cmd_Hz;X_Axis_High_Freq_RMS_Acc_G;Z_Axis_High_Freq_RMS_Acc_G;X_Axis_RMS_Velocity_mm_sec;Z_Axis_RMS_Velocity_mm_sec;time_local
0;0,01;0,01;0,16;0,16;2021-07-11 23:01:00
0;0,01;0,01;0,16;0,16;2021-07-11 23:31:00
0;0,01;0,01;0,16;0,16;2021-07-12 00:01:00
0;0,01;0,01;0,16;0,16;2021-07-12 00:31:00
0;0,01;0,01;0,16;0,16;2021-07-12 01:01:00
0;0,01;0,01;0,16;0,16;2021-07-12 01:31:00
0;0,01;0,01;0,16;0,16;2021-07-12 02:01:00
0;0,01;0,01;0,16;0,16;2021-07-12 02:31:00
0;0,01;0,01;0,16;0,16;2021-07-12 03:01:00
0;0,01;0,01;0,16;0,16;2021-07-12 03:31:00
0;0,01;0,01;0,16;0,16;2021-07-12 04:01:00
0;0,01;0,01;0,16;0,16;2021-07-12 04:31:00
0;0,01;0,01;0,16;0,16;2021-07-12 05:01:00
0;0,01;0,01;0,16;0,16;2021-07-12 05:31:00
0;0,01;0,01;0,16;0,16;2021-07-12 06:01:00
0;0,01;0,01;0,16;0,16;2021-07-12 06:31:00
0;0,01;0,01;0,16;0,16;2021-07-12 07:01:00
0;0,01;0,01;0,16;0,16;2021-07-12 07:31:00
0;0,01;0,01;0,16;0,16;2021-07-12 08:01:00
0;0,01;0,01;0,16;0,16;2021-07-12 08:31:00
0;0,01;0,01;0,16;0,16;2021-07-12 09:01:00
0;0,01;0,01;0,16;0,16;2021-07-12 09:31:00
0;0,01;0,01;0,16;0,16;2021-07-12 11:01:00
0;0,01;0,01;0,16;0,16;2021-07-12 11:26:00
0;0,01;0,01;0,16;0,16;2021-07-12 11:28:00
0;0,01;0,01;0,16;0,16;2021-07-12 11:30:00
0;0,01;0,01;0,16;0,16;2021-07-12 11:33:00
0;0,01;0,01;0,16;0,16;2021-07-12 11:38:00
0;0,01;0,01;0,16;0,16;2021-07-12 11:44:00
0;0,01;0,01;0,16;0,16;2021-07-12 11:48:00
0;0,01;0,01;0,16;0,16;2021-07-12 11:52:00
0;0,01;0,01;0,16;0,16;2021-07-12 12:01:00
0;0,01;0,01;0,16;0,16;2021-07-12 12:04:00
0;0,01;0,01;0,16;0,16;2021-07-12 13:44:00
0;0,01;0,01;0,16;0,16;2021-07-12 13:52:00
0;0,01;0,01;0,16;0,16;2021-07-12 14:01:00
0;0,01;0,01;0,16;0,16;2021-07-12 14:31:00
0;0,01;0,01;0,16;0,16;2021-07-12 15:01:00
0;0;0;0;0;2021-07-12 15:31:00
0;0;0;0;0;2021-07-12 16:01:00
0;0;0;0;0;2021-07-12 16:31:00
0;0;0;0;0;2021-07-13 09:31:00
0;0;0;0;0;2021-07-13 10:01:00
0;0;0;0;0;2021-07-13 10:31:00
0;0;0;0;0;2021-07-13 11:01:00
0;0;0;0;0;2021-07-13 11:31:00
0;0;0;0;0;2021-07-13 12:01:00
0;0;0;0;0;2021-07-13 12:31:00
0;0;0;0;0;2021-07-13 13:01:00
0;0;0;0;0;2021-07-13 13:31:00
0;0;0;0;0;2021-07-13 14:01:00
0;0;0;0;0;2021-07-13 14:31:00
0;0;0;0;0;2021-07-13 15:01:00
0;0;0;0;0;2021-07-13 15:31:00
0;0;0;0;0;2021-07-13 16:01:00
0;0;0;0;0;2021-07-13 16:31:00
0;0;0;0;0;2021-07-13 17:01:00
0;0;0;0;0;2021-07-13 17:31:00
0;0;0;0;0;2021-07-13 18:01:00
0;0;0;0;0;2021-07-13 18:31:00
0;0;0;0;0;2021-07-13 19:01:00
0;0;0;0;0;2021-07-13 19:31:00
0;0;0;0;0;2021-07-13 20:01:00
0;0;0;0;0;2021-07-13 20:31:00
0;0;0;0;0;2021-07-13 21:01:00
0;0;0;0;0;2021-07-13 21:31:00
0;0;0;0;0;2021-07-13 22:01:00
0;0;0;0;0;2021-07-13 22:31:00
0;0;0;0;0;2021-07-13 23:01:00
0;0;0;0;0;2021-07-13 23:31:00
0;0;0;0;0;2021-07-14 00:01:00
0;0;0;0;0;2021-07-14 00:31:00
0;0;0;0;0;2021-07-14 01:01:00
0;0;0;0;0;2021-07-14 01:31:00
0;0;0;0;0;2021-07-14 02:01:00
0;0;0;0;0;2021-07-14 02:31:00
0;0;0;0;0;2021-07-14 03:01:00
0;0;0;0;0;2021-07-14 03:31:00
0;0;0;0;0;2021-07-14 04:01:00
0;0;0;0;0;2021-07-14 04:31:00
0;0;0;0;0;2021-07-14 05:01:00
0;0;0;0;0;2021-07-14 05:31:00
0;0;0;0;0;2021-07-14 06:01:00
0;0;0;0;0;2021-07-14 06:31:00
0;0;0;0;0;2021-07-14 07:01:00
0;0;0;0;0;2021-07-14 07:31:00
0;0;0;0;0;2021-07-14 08:01:00
0;0;0;0;0;2021-07-14 09:01:00
0;0;0;0;0;2021-07-14 09:31:00
0;0;0;0;0;2021-07-14 10:01:00
0;0;0;0;0;2021-07-14 10:31:00
0;0;0;0;0;2021-07-14 11:01:00
0;0;0;0;0;2021-07-14 11:31:00
0;0;0;0;0;2021-07-14 12:01:00
0;0;0;0;0;2021-07-14 12:31:00
0;0;0;0;0;2021-07-14 13:01:00
0;0;0;0;0;2021-07-14 13:31:00
0;0;0;0;0;2021-07-14 14:01:00
0;0;0;0;0;2021-07-14 14:31:00
0;0;0;0;0;2021-07-14 15:01:00
0;0;0;0;0;2021-07-14 15:31:00
0;0;0;0;0;2021-07-14 16:01:00
0;0;0;0;0;2021-07-14 16:31:00
0;0;0;0;0;2021-07-14 17:01:00
0;0;0;0;0;2021-07-14 17:31:00
0;0;0;0;0;2021-07-14 18:01:00
0;0;0;0;0;2021-07-14 18:31:00
0;0;0;0;0;2021-07-14 19:01:00
0;0;0;0;0;2021-07-14 19:31:00
0;0;0;0;0;2021-07-14 20:01:00
0;0;0;0;0;2021-07-14 20:31:00
0;0;0;0;0;2021-07-14 21:01:00
0;0;0;0;0;2021-07-14 21:31:00
0;0;0;0;0;2021-07-14 22:01:00
0;0;0;0;0;2021-07-14 22:31:00
0;0;0;0;0;2021-07-14 23:01:00
0;0;0;0;0;2021-07-14 23:31:00
0;0;0;0;0;2021-07-15 00:01:00
0;0;0;0;0;2021-07-15 00:31:00
0;0;0;0;0;2021-07-15 01:01:00
0;0;0;0;0;2021-07-15 01:31:00
0;0;0;0;0;2021-07-15 02:01:00
0;0;0;0;0;2021-07-15 02:31:00
0;0;0;0;0;2021-07-15 03:01:00
0;0;0;0;0;2021-07-15 03:31:00
0;0;0;0;0;2021-07-15 04:01:00
0;0;0;0;0;2021-07-15 04:31:00
0;0;0;0;0;2021-07-15 05:01:00
0;0;0;0;0;2021-07-15 05:31:00
